epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.4421,1.67111,3.81482,1.28493,0.0049,0.01923,0.00255,0.00204,1.77641,3.83606,1.3601,0,0,0
2,8.10095,1.64426,3.82053,1.26715,0.00505,0.01923,0.00262,0.0021,1.74996,3.83869,1.34862,1.6505e-05,1.6505e-05,1.6505e-05
3,9.42928,1.77772,3.92855,1.3654,0.0102,0.03846,0.00552,0.00241,1.71804,3.82767,1.32474,3.26799e-05,3.26799e-05,3.26799e-05
4,10.9293,1.78025,3.80921,1.35148,0.01515,0.05769,0.0085,0.00269,1.6957,3.82336,1.28879,4.85247e-05,4.85247e-05,4.85247e-05
5,12.5543,1.80243,3.83512,1.18238,0.01415,0.05769,0.00796,0.00411,1.69371,3.81036,1.27243,6.40395e-05,6.40395e-05,6.40395e-05
6,14.2124,1.61025,3.75227,1.19851,0.01415,0.05769,0.00794,0.0041,1.72617,3.794,1.26147,7.92242e-05,7.92242e-05,7.92242e-05
7,15.6787,1.74838,3.66921,1.36437,0.0189,0.13462,0.01091,0.00607,1.77188,3.74819,1.25787,9.40788e-05,9.40788e-05,9.40788e-05
8,17.5618,1.58229,3.60857,1.17163,0.03914,0.23077,0.02545,0.01209,1.81869,3.71865,1.2563,0.000108603,0.000108603,0.000108603
9,18.865,1.49582,3.37725,1.22064,0.06011,0.34615,0.04596,0.01993,1.82629,3.68048,1.25069,0.000122798,0.000122798,0.000122798
10,20.3959,1.46987,3.49786,1.10891,0.06052,0.36538,0.04714,0.02417,1.8104,3.65119,1.2332,0.000136662,0.000136662,0.000136662
11,21.8626,1.62697,3.35731,1.15216,0.06072,0.36538,0.06533,0.02931,1.77752,3.62157,1.20346,0.000150197,0.000150197,0.000150197
12,23.2449,1.69141,3.28302,1.30897,0.05896,0.36538,0.06593,0.03279,1.74455,3.59622,1.18726,0.000163401,0.000163401,0.000163401
13,24.8659,1.56582,3.20831,1.08031,0.05701,0.36538,0.04704,0.02382,1.77199,3.56941,1.20884,0.000176275,0.000176275,0.000176275
14,26.8628,1.64145,3.01503,1.08107,0.05609,0.36538,0.05478,0.02974,1.75691,3.52741,1.17599,0.000188819,0.000188819,0.000188819
15,29.036,1.78603,3.10227,1.11287,0.05246,0.34615,0.05564,0.03148,1.75432,3.48852,1.17485,0.000201034,0.000201034,0.000201034
16,30.933,1.64658,2.77661,1.03434,0.05115,0.34615,0.05708,0.03348,1.77722,3.43734,1.21783,0.000212918,0.000212918,0.000212918
17,32.418,1.53693,2.54932,1.0402,0.04926,0.34615,0.0556,0.03156,1.82597,3.37535,1.25586,0.000224472,0.000224472,0.000224472
18,33.8219,1.58512,2.33208,1.11376,0.04926,0.34615,0.0556,0.03156,1.82597,3.37535,1.25586,0.000235695,0.000235695,0.000235695
19,35.4139,1.6026,2.50765,1.11173,0.04949,0.34615,0.09792,0.05153,1.87725,3.30511,1.28068,0.000246589,0.000246589,0.000246589
20,37.0286,1.63443,2.34629,1.03117,0.04949,0.34615,0.09792,0.05153,1.87725,3.30511,1.28068,0.000257153,0.000257153,0.000257153
21,39.8982,1.57056,2.59043,1.01669,0.04995,0.34615,0.1798,0.08488,1.86912,3.21979,1.28909,0.000267387,0.000267387,0.000267387
22,41.9281,1.55275,2.13423,1.08494,0.04995,0.34615,0.1798,0.08488,1.86912,3.21979,1.28909,0.00027729,0.00027729,0.00027729
23,43.8292,1.70491,2.23283,0.97448,0.05042,0.34615,0.20798,0.09398,1.91544,3.10168,1.32315,0.000286864,0.000286864,0.000286864
24,45.2581,1.54454,2.09869,1.04767,0.05042,0.34615,0.20798,0.09398,1.91544,3.10168,1.32315,0.000296108,0.000296108,0.000296108
25,46.7177,1.4235,1.88607,1.06953,0.05307,0.36538,0.21729,0.10423,1.92307,2.99264,1.35846,0.000305021,0.000305021,0.000305021
26,48.1926,1.43291,1.91293,0.99816,0.05307,0.36538,0.21729,0.10423,1.92307,2.99264,1.35846,0.000313604,0.000313604,0.000313604
27,49.7949,1.66182,1.95742,1.01095,0.05411,0.36538,0.22864,0.11387,1.90093,2.90464,1.33686,0.000321858,0.000321858,0.000321858
28,51.4812,1.51816,1.81661,0.98504,0.05411,0.36538,0.22864,0.11387,1.90093,2.90464,1.33686,0.000329781,0.000329781,0.000329781
29,52.9745,1.63261,2.08225,1.06727,0.80016,0.2311,0.22679,0.11916,1.85587,2.84425,1.31666,0.000337374,0.000337374,0.000337374
30,54.4808,1.47322,1.95805,0.98065,0.80016,0.2311,0.22679,0.11916,1.85587,2.84425,1.31666,0.000344637,0.000344637,0.000344637
31,56.006,1.52873,1.68771,1.04036,0.85564,0.15385,0.21315,0.11042,1.9343,2.81103,1.34055,0.00035157,0.00035157,0.00035157
32,57.5803,1.53053,1.68747,1.01474,0.85564,0.15385,0.21315,0.11042,1.9343,2.81103,1.34055,0.000358173,0.000358173,0.000358173
33,59.0959,1.60812,1.80888,1.01517,0.81911,0.15385,0.20133,0.10329,1.89473,2.76483,1.30311,0.000364446,0.000364446,0.000364446
34,60.7782,1.57067,1.61792,1.01758,0.81911,0.15385,0.20133,0.10329,1.89473,2.76483,1.30311,0.000370389,0.000370389,0.000370389
35,62.2794,1.40874,1.50921,0.98154,0.759,0.15385,0.20872,0.1062,1.92294,2.7161,1.3042,0.000376002,0.000376002,0.000376002
36,63.7775,1.57685,1.69487,0.98776,0.759,0.15385,0.20872,0.1062,1.92294,2.7161,1.3042,0.000381285,0.000381285,0.000381285
37,65.2773,1.41833,1.68177,0.96323,0.7469,0.15385,0.16987,0.08559,1.91376,2.83874,1.28507,0.000386237,0.000386237,0.000386237
38,67.2617,1.64841,1.73987,0.99824,0.7469,0.15385,0.16987,0.08559,1.91376,2.83874,1.28507,0.00039086,0.00039086,0.00039086
39,69.0126,1.75703,1.88902,1.06863,0.72133,0.13762,0.13027,0.0589,1.97869,2.97333,1.33629,0.000395152,0.000395152,0.000395152
40,70.3515,1.45227,1.36983,1.03485,0.72133,0.13762,0.13027,0.0589,1.97869,2.97333,1.33629,0.000399115,0.000399115,0.000399115
41,71.8125,1.4519,1.41362,0.9944,0.14985,0.19231,0.10089,0.05147,1.96224,3.09559,1.3644,0.000402747,0.000402747,0.000402747
42,73.2126,1.3885,1.40217,0.97706,0.14985,0.19231,0.10089,0.05147,1.96224,3.09559,1.3644,0.00040605,0.00040605,0.00040605
43,75.2453,1.64522,1.59052,0.96451,0.04324,0.30769,0.09552,0.04689,2.03068,3.21677,1.42042,0.000409022,0.000409022,0.000409022
44,76.6567,1.40179,1.47166,0.9588,0.04324,0.30769,0.09552,0.04689,2.03068,3.21677,1.42042,0.000411664,0.000411664,0.000411664
45,78.2615,1.40573,1.28249,0.95732,0.0372,0.26923,0.09102,0.03948,2.09177,3.25955,1.44735,0.000413976,0.000413976,0.000413976
46,80.0011,1.57983,1.35821,0.97292,0.0372,0.26923,0.09102,0.03948,2.09177,3.25955,1.44735,0.000415958,0.000415958,0.000415958
47,81.5622,1.60736,1.46422,0.98041,0.03796,0.26923,0.12921,0.07066,2.14507,3.31257,1.47031,0.00041761,0.00041761,0.00041761
48,83.1943,1.4157,1.09656,0.92877,0.03796,0.26923,0.12921,0.07066,2.14507,3.31257,1.47031,0.000418932,0.000418932,0.000418932
49,84.6361,1.37571,1.14061,0.95758,0.15854,0.14934,0.12846,0.06498,2.15611,3.36573,1.49352,0.000419924,0.000419924,0.000419924
50,86.4283,1.49164,1.26158,0.94831,0.15854,0.14934,0.12846,0.06498,2.15611,3.36573,1.49352,0.000420586,0.000420586,0.000420586
